region_code,region_name,continent,period,CI_min,CI_max,CI_mean,CI_low,CI_high,CI_COV,CI_COV_daily
DK-DK2,East Denmark,Europe,2022,40.9,600.46,160.26,105.64,197.74,47.14,19.7
DK-DK2,East Denmark,Europe,2023,40.56,442.09,131.13,85.03,160.94,46.54,18.88
DK-DK2,East Denmark,Europe,2024,29.99,466.71,125.43,82.44,155.08,48.7,21.33
DK-DK2,East Denmark,Europe,all,29.99,600.46,155.91,99.21,196.62,48.79,19.24
EE,Estonia,Europe,2021,111.74,756.95,373.99,292.47,442.15,31.97,9.9
EE,Estonia,Europe,2022,135.89,928.8,413.53,301.83,499.76,34.69,10.77
EE,Estonia,Europe,2023,57.08,818.85,270.7,166.27,355.23,52.04,14.09
EE,Estonia,Europe,2024,58.05,825.2,286.09,197.09,352.06,43.94,17.12
EE,Estonia,Europe,all,57.08,928.8,336.04,236.08,423.36,43.31,12.97
ES,Spain,Europe,2021,64.06,360.59,174.22,132.39,209.23,32.47,11.76
ES,Spain,Europe,2022,62.79,404.06,219.79,170.49,269.19,30.04,14.74
ES,Spain,Europe,2023,54.39,343.96,154.12,105.14,195.7,37.51,20.71
ES,Spain,Europe,2024,53.32,321.34,124.14,83.92,151.45,38.91,22.67
ES,Spain,Europe,all,53.32,404.06,168.04,113.99,213.45,40.0,17.47
FI,Finland,Europe,2021,53.65,289.44,162.3,122.27,199.94,31.82,6.84
FI,Finland,Europe,2022,40.9,276.57,126.73,82.99,165.85,39.5,7.1
FI,Finland,Europe,2023,30.0,235.45,78.16,43.12,100.9,49.72,6.72
FI,Finland,Europe,2024,28.61,224.42,72.7,51.03,86.6,40.18,7.2
FI,Finland,Europe,all,28.61,289.44,109.94,61.39,148.07,51.76,6.96
FR,France,Europe,2021,16.47,141.9,55.55,31.61,76.85,51.33,13.16
FR,France,Europe,2022,22.55,186.83,90.05,73.65,105.65,29.72,10.99
FR,France,Europe,2023,15.06,166.35,49.12,30.61,58.71,51.81,14.92
FR,France,Europe,2024,11.71,94.05,31.28,19.75,36.52,49.49,14.21
FR,France,Europe,all,11.71,186.83,56.48,28.93,80.35,57.6,13.32
GB,Great Britain,Europe,2021,39.74,393.8,224.41,171.74,277.85,30.73,16.83
GB,Great Britain,Europe,2022,40.38,391.51,221.98,159.96,285.17,35.64,19.13
GB,Great Britain,Europe,2023,28.11,380.13,187.53,122.78,247.53,40.46,21.22
GB,Great Britain,Europe,2024,36.24,384.38,162.71,103.48,212.54,43.78,23.03
GB,Great Britain,Europe,all,28.11,393.8,199.13,132.47,261.43,39.28,20.05
GB-NIR,Northern Ireland,Europe,2021,26.85,553.33,394.11,294.86,510.0,33.12,17.84
GB-NIR,Northern Ireland,Europe,2022,30.84,553.33,372.1,258.95,495.32,35.74,17.95
GB-NIR,Northern Ireland,Europe,2023,107.64,537.7,302.91,231.87,364.89,29.63,15.37
GB-NIR,Northern Ireland,Europe,2024,168.09,501.17,306.88,260.8,349.69,19.78,10.28
GB-NIR,Northern Ireland,Europe,all,26.85,553.33,343.97,255.11,433.8,33.4,15.36
GR,Greece,Europe,2021,181.27,724.4,439.39,375.14,504.78,20.73,13.86
GR,Greece,Europe,2022,71.09,743.93,435.64,348.91,521.76,27.79,18.97
GR,Greece,Europe,2023,44.88,715.99,373.9,284.57,466.19,32.9,25.19
GR,Greece,Europe,2024,68.13,677.63,338.67,243.03,435.54,36.82,30.06
GR,Greece,Europe,all,44.88,743.93,396.86,315.3,485.14,31.09,22.02
HK,Hong Kong,Asia,2021,435.36,435.36,435.36,435.36,435.36,0.0,0.0
HK,Hong Kong,Asia,2022,435.36,435.36,435.36,435.36,435.36,0.0,0.0
HK,Hong Kong,Asia,2023,435.36,435.36,435.36,435.36,435.36,0.0,0.0
HK,Hong Kong,Asia,2024,435.36,610.51,449.42,435.36,435.36,10.29,0.03
HK,Hong Kong,Asia,all,435.36,610.51,438.88,435.36,435.36,5.45,0.01
HR,Croatia,Europe,2021,70.88,559.67,302.4,253.62,350.43,26.0,12.36
HR,Croatia,Europe,2022,105.16,626.98,345.72,289.24,399.72,23.28,12.43
HR,Croatia,Europe,2023,57.24,539.01,273.72,228.05,320.44,27.01,11.91
HR,Croatia,Europe,2024,73.39,490.25,229.32,183.5,271.29,28.47,13.81
HR,Croatia,Europe,all,57.24,626.98,287.75,231.18,339.26,29.88,12.63
HU,Hungary,Europe,2021,126.89,436.86,301.16,268.4,334.49,16.38,7.68
HU,Hungary,Europe,2022,113.45,430.06,304.84,273.11,340.2,15.89,9.57
HU,Hungary,Europe,2023,86.94,401.25,253.57,217.27,290.11,20.77,12.83
HU,Hungary,Europe,2024,95.22,388.8,236.93,190.09,284.76,26.09,16.45
HU,Hungary,Europe,all,86.94,436.86,274.1,233.68,319.06,22.24,11.64
IE,Ireland,Europe,2021,116.51,562.32,377.43,287.03,471.66,29.89,13.43
IE,Ireland,Europe,2022,120.18,629.13,404.99,273.59,532.5,34.43,15.2
IE,Ireland,Europe,2023,136.25,673.98,403.72,273.56,532.78,35.08,15.16
IE,Ireland,Europe,2024,126.46,671.17,406.17,285.04,533.31,35.62,15.68
IE,Ireland,Europe,all,116.51,673.98,398.08,279.54,511.62,34.11,14.87
IL,Israel,Asia,2021,452.79,571.51,550.39,531.38,571.5,4.63,4.38
IL,Israel,Asia,2022,480.61,571.51,542.51,506.58,571.51,5.94,5.99
IL,Israel,Asia,2023,475.83,571.5,534.9,487.45,571.49,7.57,7.7
IL,Israel,Asia,2024,475.86,571.5,534.91,487.46,571.49,7.57,7.7
IL,Israel,Asia,all,452.79,571.51,540.67,503.64,571.5,6.62,6.44
IN,Mainland India,Asia,2021,496.16,737.14,635.97,593.62,685.63,8.64,6.22
IN,Mainland India,Asia,2022,501.98,733.5,641.31,609.46,695.82,8.09,5.87
IN,Mainland India,Asia,2023,529.97,736.48,662.52,630.38,711.03,7.12,5.43
IN,Mainland India,Asia,2024,532.41,747.15,666.01,631.04,712.27,7.28,5.25
IN,Mainland India,Asia,all,496.16,747.15,651.46,617.02,701.98,8.03,5.69
IN-EA,Eastern India,Asia,2021,620.11,787.94,739.02,706.83,770.6,4.58,1.3
IN-EA,Eastern India,Asia,2022,644.09,792.9,745.41,717.44,776.67,4.2,1.16
IN-EA,Eastern India,Asia,2023,650.13,805.22,759.53,730.66,785.88,4.19,1.14
IN-EA,Eastern India,Asia,2024,679.63,805.59,777.53,764.68,792.37,2.61,1.57
IN-EA,Eastern India,Asia,all,620.11,805.59,755.39,725.94,782.83,4.4,1.29
IN-NE,North Eastern India,Asia,2021,266.22,594.18,405.3,350.84,453.01,15.68,4.1
IN-NE,North Eastern India,Asia,2022,284.9,545.64,409.26,358.1,460.85,14.8,3.57
IN-NE,North Eastern India,Asia,2023,289.49,613.07,433.81,369.95,486.09,15.33,4.76
IN-NE,North Eastern India,Asia,2024,272.89,625.99,425.27,360.06,480.72,18.19,8.28
IN-NE,North Eastern India,Asia,all,266.22,625.99,418.41,359.49,470.66,16.32,5.18
IN-NO,Northern India,Asia,2021,334.23,712.52,541.61,475.09,633.98,16.02,11.56
IN-NO,Northern India,Asia,2022,411.47,712.61,565.79,507.62,637.34,13.1,10.41
IN-NO,Northern India,Asia,2023,384.71,707.1,577.78,518.8,662.33,13.71,10.32
IN-NO,Northern India,Asia,2024,415.88,715.58,586.99,526.52,667.26,13.07,10.2
IN-NO,Northern India,Asia,all,334.23,715.58,568.06,506.78,650.98,14.28,10.62
IN-SO,Southern India,Asia,2021,315.39,693.29,511.56,449.26,559.98,15.12,10.84
IN-SO,Southern India,Asia,2022,327.43,685.28,515.62,458.75,572.12,13.98,10.27
