workload,NoH,battery,allocationType,carbon_trace,failures,runtime,energy_usage,scheduler_delay,SLA_violations,carbon_emission,embodied_carbon_host,embodied_carbon_battery,total_carbon
borg,1534,10_1000,normal,NO-NO4,no,2679100797,1768815100000.0,-9999.0,-9999.0,25185808.000493664,58643559.11241438,8495.373,83837862.48590805
borg,1534,10_1000,normal,US-CAL-LDWP,no,2679100797,1768891900000.0,-9999.0,-9999.0,154623712.03522772,58643559.11241438,8495.373,213275766.5206421
borg,1534,10_1000,normal,NO,no,2679100797,1768809800000.0,-9999.0,-9999.0,17309592.00501081,58643559.11241438,8495.373,75961646.4904252
borg,1534,10_1000,normal,US-SW-WALC,no,2679100797,1768500100000.0,-9999.0,-9999.0,128213376.0465886,58643559.11241438,8495.373,186865430.532003
borg,1534,10_1000,normal,CY,no,2679100797,1768836700000.0,-9999.0,-9999.0,324748448.025185,58643559.11241438,8495.373,383400502.5105994
borg,1534,10_1000,normal,US-TEX-ERCO,no,2679100797,1768619900000.0,-9999.0,-9999.0,151685440.01826003,58643559.11241438,8495.373,210337494.50367442
borg,1534,10_1000,normal,US-FLA-FPC,no,2679100797,1768959900000.0,-9999.0,-9999.0,242397680.0077148,58643559.11241438,8495.373,301049734.4931292
borg,1534,10_1000,normal,HK,no,2679100797,1768879300000.0,-9999.0,-9999.0,213912110.4,58643559.11241438,8495.373,272564164.88541436
borg,1534,10_1000,normal,US-CAR-CPLE,no,2679100797,1768649700000.0,-9999.0,-9999.0,124411824.0331066,58643559.11241438,8495.373,183063878.51852098
borg,1534,10_1000,normal,GB-NIR,no,2679100797,1769052300000.0,-9999.0,-9999.0,140014656.02180427,58643559.11241438,8495.373,198666710.50721866
borg,1534,10_1000,normal,IN-NO,no,2679100797,1769196200000.0,-9999.0,-9999.0,301995200.01796603,58643559.11241438,8495.373,360647254.5033804
borg,1534,10_1000,normal,BA,no,2679100797,1768901300000.0,-9999.0,-9999.0,203311536.01606375,58643559.11241438,8495.373,261963590.50147814
borg,1534,10_1000,normal,IE,no,2679100797,1768926200000.0,-9999.0,-9999.0,169641706.67948014,58643559.11241438,8495.373,228293761.16489452
borg,1534,10_1000,normal,US-FLA-FPL,no,2679100797,1768710600000.0,-9999.0,-9999.0,172922704.040441,58643559.11241438,8495.373,231574758.5258554
borg,1534,10_1000,normal,IN-NE,no,2679100797,1768963700000.0,-9999.0,-9999.0,247238896.0188361,58643559.11241438,8495.373,305890950.5042505
borg,1534,10_1000,normal,US-SW-SRP,no,2679100797,1768722700000.0,-9999.0,-9999.0,109144239.34830052,58643559.11241438,8495.373,167796293.8337149
borg,1534,10_1000,normal,US-NW-GCPD,no,2679100797,1768620700000.0,-9999.0,-9999.0,27659468.0026313,58643559.11241438,8495.373,86311522.48804569
borg,1534,10_1000,normal,IN-EA,no,2679100797,1768691600000.0,-9999.0,-9999.0,388330016.114811,58643559.11241438,8495.373,446982070.6002254
borg,1534,10_1000,normal,US-NW-TPWR,no,2679100797,1768866200000.0,-9999.0,-9999.0,36005161.388654776,58643559.11241438,8495.373,94657215.87406915
borg,1534,10_1000,normal,KR,no,2679100797,1768891000000.0,-9999.0,-9999.0,203340432.0182023,58643559.11241438,8495.373,261992486.5036167
borg,1534,10_1000,normal,PT,no,2679100797,1768816200000.0,-9999.0,-9999.0,39259715.2275754,58643559.11241438,8495.373,97911769.71298978
borg,1534,10_1000,normal,NO-NO3,no,2679100797,1769054700000.0,-9999.0,-9999.0,14834252.004176412,58643559.11241438,8495.373,73486306.4895908
borg,1534,10_1000,normal,CZ,no,2679100797,1768629700000.0,-9999.0,-9999.0,238734889.8155102,58643559.11241438,8495.373,297386944.3009246
borg,1534,10_1000,normal,JP-KN,no,2679100797,1768610200000.0,-9999.0,-9999.0,194468064.0214413,58643559.11241438,8495.373,253120118.5068557
borg,1534,10_1000,normal,US-CAL-IID,no,2679100797,1768996200000.0,-9999.0,-9999.0,263250304.0635461,58643559.11241438,8495.373,321902358.54896045
borg,1534,10_1000,normal,IN-SO,no,2679100797,1768601400000.0,-9999.0,-9999.0,309018592.080932,58643559.11241438,8495.373,367670646.5663464
borg,1534,10_1000,normal,BR-NE,no,2679100797,1768978300000.0,-9999.0,-9999.0,22272188.000070527,58643559.11241438,8495.373,80924242.48548491
borg,1534,10_1000,normal,IT-SIC,no,2679100797,1768768300000.0,-9999.0,-9999.0,130286588.40947138,58643559.11241438,8495.373,188938642.89488578
borg,1534,10_1000,normal,FI,no,2679100797,1769040100000.0,-9999.0,-9999.0,47966797.373236924,58643559.11241438,8495.373,106618851.85865131
borg,1534,10_1000,normal,US-SW-AZPS,no,2679100797,1769015700000.0,-9999.0,-9999.0,161996224.0024449,58643559.11241438,8495.373,220648278.48785928
borg,1534,10_1000,normal,US-NW-AVA,no,2679100797,1768430800000.0,-9999.0,-9999.0,120018223.425709,58643559.11241438,8495.373,178670277.9111234
borg,1534,10_1000,normal,IT-CSO,no,2679100797,1768812300000.0,-9999.0,-9999.0,115013400.00865532,58643559.11241438,8495.373,173665454.4940697
borg,1534,10_1000,normal,AU-WA,no,2679100797,1769157000000.0,-9999.0,-9999.0,178436676.7381208,58643559.11241438,8495.373,237088731.22353518
