workload,NoH,battery,battery_capacity,battery_speed,battery_embodied_rate,allocationType,carbon_trace,failures,runtime,energy_usage,scheduler_delay,SLA_violations,carbon_emission,embodied_carbon_host,embodied_carbon_battery,total_carbon
surf,277,0_1000,0,1000,100.0,normal,NO-NO4,no,10702638000.0,211191169024.0,-9999.0,-9999.0,3556381.25,19215199.15,0.0,22771580.4
surf,277,0_1000,0,1000,100.0,normal,US-SW-AZPS,no,10702638000.0,211191169024.0,-9999.0,-9999.0,21856376.0,19215199.15,0.0,41071575.15
surf,277,0_1000,0,1000,100.0,normal,HR,no,10702638000.0,211191169024.0,-9999.0,-9999.0,11081743.0,19215199.15,0.0,30296942.15
surf,277,0_1000,0,1000,100.0,normal,IL,no,10702638000.0,211191169024.0,-9999.0,-9999.0,31252468.0,19215199.15,0.0,50467667.15
surf,277,0_1000,0,1000,100.0,normal,PH,no,10702638000.0,211191169024.0,-9999.0,-9999.0,37992852.0,19215199.15,0.0,57208051.15
surf,277,0_1000,0,1000,100.0,normal,AU-SA,no,10702638000.0,211191169024.0,-9999.0,-9999.0,13767989.0,19215199.15,0.0,32983188.15
surf,277,0_1000,0,1000,100.0,normal,US-NY-NYIS,no,10702638000.0,211191169024.0,-9999.0,-9999.0,16433354.0,19215199.15,0.0,35648553.15
surf,277,0_1000,0,1000,100.0,normal,IT-SIC,no,10702638000.0,211191169024.0,-9999.0,-9999.0,15655399.0,19215199.15,0.0,34870598.15
surf,277,0_1000,0,1000,100.0,normal,US-SW-SRP,no,10702638000.0,211191169024.0,-9999.0,-9999.0,15443961.0,19215199.15,0.0,34659160.15
surf,277,0_1000,0,1000,100.0,normal,UY,no,10702638000.0,211191169024.0,-9999.0,-9999.0,3149503.75,19215199.15,0.0,22364702.9
surf,277,0_1000,0,1000,100.0,normal,US-CAL-CISO,no,10702638000.0,211191169024.0,-9999.0,-9999.0,9967305.0,19215199.15,0.0,29182504.15
surf,277,0_1000,0,1000,100.0,normal,US-FLA-TAL,no,10702638000.0,211191169024.0,-9999.0,-9999.0,26952694.0,19215199.15,0.0,46167893.15
surf,277,0_1000,0,1000,100.0,normal,RS,no,10702638000.0,211191169024.0,-9999.0,-9999.0,27684616.0,19215199.15,0.0,46899815.15
surf,277,0_1000,0,1000,100.0,normal,DK-BHM,no,10702638000.0,211191169024.0,-9999.0,-9999.0,3243089.0,19215199.15,0.0,22458288.15
surf,277,0_1000,0,1000,100.0,normal,IT-CSO,no,10702638000.0,211191169024.0,-9999.0,-9999.0,15061202.0,19215199.15,0.0,34276401.15
surf,277,0_1000,0,1000,100.0,normal,US-MIDW-LGEE,no,10702638000.0,211191169024.0,-9999.0,-9999.0,50394024.0,19215199.15,0.0,69609223.15
surf,277,0_1000,0,1000,100.0,normal,IT-CNO,no,10702638000.0,211191169024.0,-9999.0,-9999.0,12766513.0,19215199.15,0.0,31981712.15
surf,277,0_1000,0,1000,100.0,normal,MY,no,10702638000.0,211191169024.0,-9999.0,-9999.0,31973988.0,19215199.15,0.0,51189187.15
surf,277,0_1000,0,1000,100.0,normal,BR-S,no,10702638000.0,211191169024.0,-9999.0,-9999.0,3913665.25,19215199.15,0.0,23128864.4
surf,277,0_1000,0,1000,100.0,normal,US-SW-EPE,no,10702638000.0,211191169024.0,-9999.0,-9999.0,28184710.0,19215199.15,0.0,47399909.15
surf,277,0_1000,0,1000,100.0,normal,US-TEN-TVA,no,10702638000.0,211191169024.0,-9999.0,-9999.0,19610290.0,19215199.15,0.0,38825489.15
surf,277,0_1000,0,1000,100.0,normal,NO-NO2,no,10702638000.0,211191169024.0,-9999.0,-9999.0,1919735.125,19215199.15,0.0,21134934.275
surf,277,0_1000,0,1000,100.0,normal,CZ,no,10702638000.0,211191169024.0,-9999.0,-9999.0,25932068.0,19215199.15,0.0,45147267.15
surf,277,0_1000,0,1000,100.0,normal,IS,no,10702638000.0,211191169024.0,-9999.0,-9999.0,1658830.125,19215199.15,0.0,20874029.275
surf,277,0_1000,0,1000,100.0,normal,US-NW-AVA,no,10702638000.0,211191169024.0,-9999.0,-9999.0,9044083.0,19215199.15,0.0,28259282.15
surf,277,0_1000,0,1000,100.0,normal,JP-HKD,no,10702638000.0,211191169024.0,-9999.0,-9999.0,26132974.0,19215199.15,0.0,45348173.15
surf,277,0_1000,0,1000,100.0,normal,PA,no,10702638000.0,211191169024.0,-9999.0,-9999.0,13893039.0,19215199.15,0.0,33108238.15
surf,277,0_1000,0,1000,100.0,normal,RO,no,10702638000.0,211191169024.0,-9999.0,-9999.0,16326266.0,19215199.15,0.0,35541465.15
surf,277,0_1000,0,1000,100.0,normal,BG,no,10702638000.0,211191169024.0,-9999.0,-9999.0,14998205.0,19215199.15,0.0,34213404.15
surf,277,0_1000,0,1000,100.0,normal,IN-EA,no,10702638000.0,211191169024.0,-9999.0,-9999.0,46142944.0,19215199.15,0.0,65358143.15
surf,277,0_1000,0,1000,100.0,normal,US-MIDW-AECI,no,10702638000.0,211191169024.0,-9999.0,-9999.0,33103004.0,19215199.15,0.0,52318203.15
surf,277,0_1000,0,1000,100.0,normal,US-FLA-FPC,no,10702638000.0,211191169024.0,-9999.0,-9999.0,29225790.0,19215199.15,0.0,48440989.15
surf,277,0_1000,0,1000,100.0,normal,US-CAR-SC,no,10702638000.0,211191169024.0,-9999.0,-9999.0,34557184.0,19215199.15,0.0,53772383.15
surf,277,0_1000,0,1000,100.0,normal,LU,no,10702638000.0,211191169024.0,-9999.0,-9999.0,12596191.0,19215199.15,0.0,31811390.15
surf,277,0_1000,0,1000,100.0,normal,MY-WM,no,10702638000.0,211191169024.0,-9999.0,-9999.0,38100688.0,19215199.15,0.0,57315887.15
